iter	Passed	Remaining
0	69	6908
1	147	7230
2	236	7637
3	338	8127
4	439	8342
5	525	8225
6	603	8016
7	688	7922
8	806	8156
9	909	8181
10	1003	8120
11	1099	8062
12	1185	7936
13	1267	7783
14	1348	7643
15	1435	7537
16	1526	7452
17	1609	7333
18	1691	7212
19	1778	7114
20	1863	7008
21	1946	6899
22	2052	6870
23	2148	6802
24	2182	6548
25	2256	6422
26	2332	6306
27	2414	6208
28	2510	6147
29	2592	6048
30	2676	5956
31	2761	5869
32	2845	5777
33	2930	5688
34	2979	5533
35	3058	5437
36	3161	5383
37	3239	5286
38	3314	5183
39	3386	5079
40	3461	4981
41	3531	4877
42	3606	4780
43	3677	4679
44	3748	4581
45	3822	4486
46	3896	4393
47	3967	4298
48	4040	4205
49	4112	4112
50	4183	4019
51	4258	3930
52	4364	3870
53	4454	3794
54	4538	3713
55	4618	3629
56	4700	3546
57	4785	3465
58	4866	3382
59	4943	3295
60	5018	3208
61	5091	3120
62	5165	3033
63	5237	2946
64	5309	2859
65	5380	2771
66	5450	2684
67	5521	2598
68	5592	2512
69	5663	2427
70	5735	2342
71	5807	2258
72	5883	2176
73	5954	2092
74	6024	2008
75	6095	1924
76	6166	1841
77	6237	1759
78	6309	1677
79	6380	1595
80	6461	1515
81	6552	1438
82	6642	1360
83	6715	1279
84	6786	1197
85	6859	1116
86	6945	1037
87	7018	957
88	7089	876
89	7159	795
90	7229	715
91	7300	634
92	7372	554
93	7444	475
94	7514	395
95	7584	316
96	7654	236
97	7728	157
98	7802	78
99	7874	0
