"placa","marca","modelo","anio","kilometraje","ultimo_mantenimiento","descripcion_sintomas","sensor_nivel_combustible","falla_real","subfalla_real","gravedad_real","solucion_real","es_correcto"
"NSX-878","Nissan","Versa","2023","29102","2024-10-07","El volante vibra violentamente al frenar a alta velocidad. Huele mal.","79.0","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"YNM-189","Toyota","RAV4","2012","255736","2024-12-20","La transmisión se queda pegada en una sola velocidad. Se escucha raro.","17.2","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"VSF-897","Hyundai","Tucson","2016","126639","2024-04-22","El motor sube de RPM pero el auto apenas avanza de forma intermitente.","72.1","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"DXU-498","Toyota","Yaris","2017","113472","2024-01-20","Golpe seco y fuerte al pasar de P a D o R","33.6","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"KRT-822","Hyundai","Tucson","2013","230136","2024-08-03","Testigos del tablero se encienden y apagan aleatoriamente. Huele mal.","47.4","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"XMH-936","Kia","Seltos","2018","109032","2024-03-12","El volante vibra violentamente al frenar a alta velocidad. Empeora en frío.","91.1","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"FPF-562","Kia","Sportage","2010","189495","2024-11-26","Chillido muy agudo y constante al pisar el freno suavemente","19.0","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"ARM-216","Nissan","Frontier","2020","82615","2024-01-24","Al girar la llave todo se apaga y solo suena un click. Se escucha raro.","75.3","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"CHQ-296","Hyundai","Tucson","2017","117928","2024-10-31","Ruido metálico fuerte al encender y vibración excesiva","36.9","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"UGZ-424","Hyundai","Creta","2015","152150","2024-10-07","Olor a balata quemada al soltar el embrague en subidas de forma intermitente.","86.0","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
